URL,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTSCORE,LATENCY,COMPRESSION RATE,TOTAL TOKENS
https://tienphong.vn/nguoi-phu-nu-bi-bat-coc-danh-dap-ep-chuyen-tien-kip-thoi-thoat-than-truoc-khi-bi-dua-sang-campuchia-post1823523.tpo,0.2985,0.2391,0.2157,0.0253,0.597456,4.61,27.93,1377
https://tienphong.vn/bat-hai-doi-tuong-nem-da-khien-nhan-vien-tram-y-te-nhap-vien-post1823487.tpo,0.3358,0.2839,0.2907,0.0557,0.718579,3.35,35.79,966
https://tienphong.vn/khanh-hoa-siet-chat-ky-luat-thi-hanh-an-hanh-chinh-cham-dut-tinh-trang-3-khong-post1823428.tpo,0.1187,0.1154,0.1144,0.0004,0.710018,3.61,11.49,1527
https://tienphong.vn/nu-chu-tiem-tap-hoa-ngat-xiu-sau-khi-tiep-xuc-voi-nguoi-la-nghi-bi-xit-thuoc-me-post1823432.tpo,0.2439,0.208,0.192,0.0192,0.697298,5.42,25.85,1136
https://tienphong.vn/nhan-vien-bao-tri-atm-chiem-doat-tien-cua-ngan-hang-roi-nuong-vao-co-bac-post1823406.tpo,0.1345,0.1151,0.1062,0.0006,0.521404,2.86,12.28,1530
https://tienphong.vn/khoi-to-lai-tau-cho-da-trong-vu-tai-nan-ho-thac-ba-lam-6-nguoi-tu-vong-post1823386.tpo,0.211,0.1677,0.1771,0.0096,0.60835,3.19,19.8,1189
https://tienphong.vn/khanh-hoa-truc-xuat-doi-tuong-co-lenh-truy-na-do-quoc-te-post1823288.tpo,0.5143,0.4193,0.3558,0.1871,0.678428,4.93,50.68,1027
https://tienphong.vn/bat-giu-doi-tuong-lao-xe-vao-cay-xang-khien-7-nguoi-bi-thuong-post1823347.tpo,0.3798,0.288,0.2422,0.0722,0.636302,4.78,36.17,1238
https://tienphong.vn/tong-bi-thu-to-lam-chuyen-tu-xu-ly-nhieu-sang-phong-ngua-toi-pham-tu-som-tu-xa-post1823338.tpo,0.1627,0.1485,0.1349,0.0031,0.596587,3.32,15.69,1435
https://tienphong.vn/hai-nguoi-la-di-nham-xe-nhau-7-ngay-tet-post1823319.tpo,0.4664,0.3516,0.3529,0.1215,0.620821,5.04,44.89,1122
https://tienphong.vn/vu-nu-dai-gia-huy-hoai-tai-san-hon-35-trieu-dong-toa-phuc-tham-bac-toan-bo-khang-cao-post1823205.tpo,0.1818,0.159,0.1381,0.0044,0.668644,3.61,15.74,1469
https://tienphong.vn/tam-giu-doi-tuong-nhieu-lan-danh-vo-dang-mang-thai-va-con-gai-post1823212.tpo,0.3849,0.2733,0.2592,0.0671,0.633034,3.82,34.52,1152
https://tienphong.vn/hanh-trinh-pha-vu-an-giet-vo-roi-tung-tin-bi-dien-giat-post1823148.tpo,0.1439,0.118,0.1116,0.0011,0.540833,4.79,13.22,2133
https://tienphong.vn/vu-an-tap-doan-sen-tai-thu-con-193-nha-dau-tu-chua-toi-lam-viec-du-co-quan-cong-an-nhieu-lan-thong-bao-post1823162.tpo,0.0717,0.0624,0.0637,0,0.590814,3.43,7.39,2460
https://tienphong.vn/bat-giu-mot-nu-quai-nguoi-hai-phong-theo-lenh-truy-na-dac-biet-post1823151.tpo,0.3262,0.2936,0.2805,0.0953,0.725392,2.84,34.59,897
https://tienphong.vn/truy-lung-nghi-can-nguoi-nuoc-ngoai-trom-xe-o-to-tai-da-nang-post1823169.tpo,0.3539,0.2704,0.3052,0.0718,0.670605,2.77,39.64,860
https://tienphong.vn/khoi-to-nguoi-dieu-o-to-khoa-duoi-chan-xe-ngay-mung-2-tet-o-ha-tinh-post1823167.tpo,0.2068,0.1582,0.1498,0.0084,0.593996,3.45,21.38,1157
https://tienphong.vn/doa-dang-video-nhay-cam-de-cuong-dam-nguoi-yeu-cu-post1823086.tpo,0.2365,0.1957,0.1724,0.0258,0.572592,3.47,25.09,1182
https://tienphong.vn/nhung-diem-noi-bat-ve-tuyen-chon-cong-dan-thuc-hien-nghia-vu-cand-nam-2026-post1823076.tpo,0.0905,0.0748,0.0783,0.0001,0.648023,3.33,9.88,2171
https://tienphong.vn/vu-an-tap-doan-sen-tai-thu-mot-luat-su-giao-nop-cho-co-quan-dieu-tra-1-ty-dong-post1823057.tpo,0.143,0.1228,0.1266,0.0019,0.607992,3.5,13.99,1626
