URL,MODEL,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTSCORE,LATENCY,COMPRESSION RATE,TOTAL TOKENS
https://tienphong.vn/khoi-to-nhom-doi-tuong-bat-coc-danh-dap-ep-nguoi-phu-nu-chuyen-tien-post1823959.tpo,gpt4o,0.3246,0.2566,0.2484,0.0439,0.5740,3605,31.8200,1404
https://tienphong.vn/khoi-to-nhom-doi-tuong-bat-coc-danh-dap-ep-nguoi-phu-nu-chuyen-tien-post1823959.tpo,gpt4o-mini,0.3180,0.2671,0.2562,0.0470,0.5950,4346,29.5600,1386
https://tienphong.vn/con-duong-den-an-tu-cua-ong-trum-ma-tuy-post1823872.tpo,gpt4o,0.2336,0.1972,0.1695,0.0126,0.5885,9262,20.9500,2093
https://tienphong.vn/con-duong-den-an-tu-cua-ong-trum-ma-tuy-post1823872.tpo,gpt4o-mini,0.1241,0.1041,0.0972,0.0004,0.5455,3930,11.5600,1965
https://tienphong.vn/hai-nguoi-thuong-vong-sau-khi-bi-nhom-doi-tuong-vo-co-tan-cong-post1823982.tpo,gpt4o,0.4256,0.3204,0.2462,0.0865,0.5999,5707,38.6800,1753
https://tienphong.vn/hai-nguoi-thuong-vong-sau-khi-bi-nhom-doi-tuong-vo-co-tan-cong-post1823982.tpo,gpt4o-mini,0.1841,0.1303,0.1325,0.0025,0.5950,3235,15.4900,1537
https://tienphong.vn/dot-nhap-nha-dan-pha-ket-sat-trom-so-tien-vang-tri-gia-hon-1-ty-dong-post1823934.tpo,gpt4o,0.3045,0.2412,0.2206,0.0320,0.5822,8191,31.3300,1389
https://tienphong.vn/dot-nhap-nha-dan-pha-ket-sat-trom-so-tien-vang-tri-gia-hon-1-ty-dong-post1823934.tpo,gpt4o-mini,0.2612,0.2114,0.1881,0.0215,0.5911,4433,26.3200,1353
https://tienphong.vn/nu-quai-lua-ban-5-tre-em-sa-luoi-sau-15-nam-tron-truy-na-post1823967.tpo,vit5,0.3448,0.3433,0.3448,0.1431,0.8610,12050,35.2100,
https://tienphong.vn/nu-quai-lua-ban-5-tre-em-sa-luoi-sau-15-nam-tron-truy-na-post1823967.tpo,gpt4o,0.4347,0.3326,0.3276,0.0900,0.6395,4327,41.4700,1126
https://tienphong.vn/nu-quai-lua-ban-5-tre-em-sa-luoi-sau-15-nam-tron-truy-na-post1823967.tpo,gpt4o-mini,0.4090,0.3112,0.2998,0.0737,0.6308,4354,39.9600,1119
https://tienphong.vn/no-tai-benh-vien-tra-vinh-xuat-phat-tu-hop-banh-cua-nguoi-tham-benh-post1823965.tpo,gpt4o,0.3171,0.2451,0.2295,0.0336,0.6142,4948,30.6700,1353
