URL,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTSCORE,LATENCY,COMPRESSION RATE,TOTAL TOKENS
https://tienphong.vn/ai-ung-dung-thay-doi-cuoc-choi-nganh-it-sinh-vien-hoc-gi-de-khong-bi-dao-thai-post1822713.tpo,0.0731,0.0631,0.0613,0,0.622513,4.46,7.46,1892
https://tienphong.vn/da-so-chon-tieng-anh-tuyen-sinh-vao-10-lieu-hoc-sinh-co-quen-mon-khoa-hoc-tu-nhien-post1822660.tpo,0.0552,0.051,0.0514,0,0.693384,3.54,5.23,3102
https://tienphong.vn/3-truong-dai-hoc-top-dau-o-tphcm-cong-bo-phuong-an-tuyen-sinh-2026-post1822668.tpo,0.1395,0.1254,0.1221,0.001,0.648235,3.81,12.75,1757
https://tienphong.vn/cong-thi-danh-gia-nang-luc-dh-quoc-gia-tphcm-qua-tai-thi-sinh-khong-the-dang-nhap-post1822593.tpo,0.1087,0.0888,0.0895,0.0001,0.600986,3.57,10.38,1880
https://tienphong.vn/day-them-gio-nha-giao-phai-chiu-thue-thu-nhap-ra-sao-post1822495.tpo,0.3629,0.2918,0.2743,0.0784,0.639755,6.14,35.89,1247
https://tienphong.vn/thi-tot-nghiep-thpt-tren-may-tinh-nhieu-thach-thuc-post1822533.tpo,0.0715,0.0602,0.0611,0,0.558367,3.68,7.61,2262
https://tienphong.vn/bo-truong-bo-gddt-nguyen-kim-son-tiep-tuc-dau-tu-phat-trien-cac-truong-su-pham-post1822465.tpo,0.1794,0.1555,0.146,0.0049,0.694384,4.28,19.27,1376
https://tienphong.vn/sau-nghi-tet-dai-hieu-truong-hien-ke-tang-mood-cho-hoc-sinh-ngay-tro-lai-post1822392.tpo,0.2319,0.1838,0.1752,0.0129,0.629375,3.84,22.99,1478
https://tienphong.vn/bo-gddt-sua-quy-dinh-ve-cong-diem-uu-tien-theo-khu-vuc-post1822382.tpo,0.3268,0.2661,0.2566,0.0572,0.698819,6.19,33.91,1483
https://tienphong.vn/tuyen-sinh-dai-hoc-2026-thi-sinh-lo-dau-ra-sau-tot-nghiep-post1822321.tpo,0.1577,0.134,0.1251,0.0015,0.539262,4.75,14.26,2222
https://tienphong.vn/dai-hoc-y-duoc-hai-phong-lot-top-10-truong-dai-hoc-dat-chuan-chat-luong-post1816444.tpo,0.125,0.1051,0.1028,0.0003,0.619959,6.86,11.88,1766
https://tienphong.vn/17-co-so-giao-duc-dai-hoc-viet-nam-tham-gia-trien-lam-giao-duc-quoc-te-khu-vuc-chau-a-thai-binh-duong-post1822199.tpo,0.2434,0.21,0.2089,0.0209,0.666141,8.79,23.03,1637
https://tienphong.vn/giai-vo-dich-tekmonk-coding-olympiad-huy-bai-thi-neu-thi-sinh-su-dung-ai-post1821828.tpo,0.1007,0.09,0.0886,0.0002,0.650185,4.48,11.01,1898
https://tienphong.vn/dung-tien-li-xi-tet-mua-vang-hay-tu-do-tieu-sai-post1821903.tpo,0.2028,0.147,0.1331,0.0053,0.551753,5.48,18.08,1897
https://tienphong.vn/echomind-noi-ban-tre-trut-bau-tam-su-post1821675.tpo,0.0785,0.0701,0.0673,0,0.563075,5.2,6.99,2505
https://tienphong.vn/loi-hen-tro-ve-va-hanh-trinh-gieo-mam-tri-thuc-post1815909.tpo,0.1373,0.1205,0.1049,0.0006,0.565737,7.47,12.5,2745
https://tienphong.vn/thanh-tich-khung-cua-sinh-vien-tai-chinh-dan-than-nghien-cuu-khoa-hoc-post1821632.tpo,0.1824,0.1595,0.1448,0.0056,0.628796,5.21,17.18,2029
https://tienphong.vn/them-truong-dai-hoc-noi-khong-voi-tuyen-thang-giai-khoa-hoc-ki-thuat-quoc-gia-quoc-te-post1821620.tpo,0.1075,0.0948,0.0947,0.0001,0.678995,3.96,9.61,1778
https://tienphong.vn/nhieu-truong-dai-hoc-tai-tphcm-cong-bo-de-an-tuyen-sinh-2026-post1821616.tpo,0.1844,0.1583,0.1556,0.0064,0.624362,5.24,18.91,1315
